Time_abs/ps, Signal/nA
  1780.000,     0.008298
  1780.050,     0.008670
  1780.100,     0.007058
  1780.150,     0.006074
  1780.200,     0.006096
  1780.250,     0.005245
  1780.300,     0.004825
  1780.350,     0.004615
  1780.400,     0.002163
  1780.450,    -0.000958
  1780.500,    -0.001340
  1780.550,    -0.002571
  1780.600,    -0.005807
  1780.650,    -0.005418
  1780.700,    -0.005488
  1780.750,    -0.004891
  1780.800,    -0.006227
  1780.850,    -0.007177
  1780.900,    -0.006507
  1780.950,    -0.006659
  1781.000,    -0.007206
  1781.050,    -0.004623
  1781.100,    -0.002729
  1781.150,    -0.002444
  1781.200,    -0.001051
  1781.250,     0.003229
  1781.300,     0.005194
  1781.350,     0.009057
  1781.400,     0.009740
  1781.450,     0.012619
  1781.500,     0.014470
  1781.550,     0.014922
  1781.600,     0.014645
  1781.650,     0.014879
  1781.700,     0.013769
  1781.750,     0.011210
  1781.800,     0.009088
  1781.850,     0.002930
  1781.900,     0.001846
  1781.950,    -0.004297
  1782.000,    -0.010456
  1782.050,    -0.015373
  1782.100,    -0.021488
  1782.150,    -0.027601
  1782.200,    -0.031152
  1782.250,    -0.039607
  1782.300,    -0.045164
  1782.350,    -0.050733
  1782.400,    -0.054666
  1782.450,    -0.055936
  1782.500,    -0.058251
  1782.550,    -0.058581
  1782.600,    -0.057176
  1782.650,    -0.056592
  1782.700,    -0.053141
  1782.750,    -0.053666
  1782.800,    -0.053832
  1782.850,    -0.054702
  1782.900,    -0.057947
  1782.950,    -0.058622
  1783.000,    -0.057122
  1783.050,    -0.058674
  1783.100,    -0.055659
  1783.150,    -0.052954
  1783.200,    -0.049132
  1783.250,    -0.040896
  1783.300,    -0.032629
  1783.350,    -0.025334
  1783.400,    -0.016232
  1783.450,    -0.008235
  1783.500,    -0.002460
  1783.550,     0.003802
  1783.600,     0.008052
  1783.650,     0.007249
  1783.700,     0.005782
  1783.750,     0.003633
  1783.800,    -0.000688
  1783.850,    -0.010248
  1783.900,    -0.014060
  1783.950,    -0.020673
  1784.000,    -0.025402
  1784.050,    -0.032968
  1784.100,    -0.037984
  1784.150,    -0.041697
  1784.200,    -0.043766
  1784.250,    -0.047101
  1784.300,    -0.052250
  1784.350,    -0.053245
  1784.400,    -0.057182
  1784.450,    -0.062944
  1784.500,    -0.064037
  1784.550,    -0.070165
  1784.600,    -0.076908
  1784.650,    -0.082109
  1784.700,    -0.091549
  1784.750,    -0.097428
  1784.800,    -0.105853
  1784.850,    -0.106947
  1784.900,    -0.111548
  1784.950,    -0.110863
  1785.000,    -0.112329
  1785.050,    -0.109271
  1785.100,    -0.106772
  1785.150,    -0.104073
  1785.200,    -0.102531
  1785.250,    -0.102205
  1785.300,    -0.100520
  1785.350,    -0.102697
  1785.400,    -0.103001
  1785.450,    -0.107299
  1785.500,    -0.109034
  1785.550,    -0.114010
  1785.600,    -0.116373
  1785.650,    -0.119119
  1785.700,    -0.121173
  1785.750,    -0.122324
  1785.800,    -0.122225
  1785.850,    -0.124239
  1785.900,    -0.127269
  1785.950,    -0.128868
  1786.000,    -0.132755
  1786.050,    -0.135353
  1786.100,    -0.139311
  1786.150,    -0.144054
  1786.200,    -0.146880
  1786.250,    -0.149684
  1786.300,    -0.152908
  1786.350,    -0.156463
  1786.400,    -0.159080
  1786.450,    -0.163563
  1786.500,    -0.167483
  1786.550,    -0.169055
  1786.600,    -0.171305
  1786.650,    -0.171770
  1786.700,    -0.170010
  1786.750,    -0.166969
  1786.800,    -0.161498
  1786.850,    -0.157704
  1786.900,    -0.149794
  1786.950,    -0.146278
  1787.000,    -0.141514
  1787.050,    -0.138320
