Time_abs/ps, Signal/nA
  1780.000,     0.008056
  1780.050,     0.005905
  1780.100,     0.004435
  1780.150,     0.001911
  1780.200,     0.002748
  1780.250,     0.004476
  1780.300,     0.003999
  1780.350,     0.006221
  1780.400,     0.007358
  1780.450,     0.006627
  1780.500,     0.004752
  1780.550,     0.003387
  1780.600,     0.003023
  1780.650,    -0.001478
  1780.700,    -0.007033
  1780.750,    -0.007930
  1780.800,    -0.009742
  1780.850,    -0.012168
  1780.900,    -0.012993
  1780.950,    -0.011554
  1781.000,    -0.009167
  1781.050,    -0.006747
  1781.100,    -0.005434
  1781.150,    -0.001825
  1781.200,    -0.000060
  1781.250,     0.001522
  1781.300,     0.000176
  1781.350,     0.001330
  1781.400,     0.000215
  1781.450,    -0.001329
  1781.500,    -0.004437
  1781.550,    -0.004229
  1781.600,    -0.003313
  1781.650,    -0.004867
  1781.700,    -0.005053
  1781.750,    -0.003723
  1781.800,    -0.004563
  1781.850,    -0.006251
  1781.900,    -0.008257
  1781.950,    -0.010950
  1782.000,    -0.013731
  1782.050,    -0.018059
  1782.100,    -0.020927
  1782.150,    -0.024985
  1782.200,    -0.029164
  1782.250,    -0.033577
  1782.300,    -0.034708
  1782.350,    -0.035909
  1782.400,    -0.033603
  1782.450,    -0.031040
  1782.500,    -0.026500
  1782.550,    -0.023062
  1782.600,    -0.019081
  1782.650,    -0.017124
  1782.700,    -0.013632
  1782.750,    -0.014196
  1782.800,    -0.014120
  1782.850,    -0.014474
  1782.900,    -0.018562
  1782.950,    -0.024822
  1783.000,    -0.029728
  1783.050,    -0.040598
  1783.100,    -0.051188
  1783.150,    -0.060289
  1783.200,    -0.068735
  1783.250,    -0.075290
  1783.300,    -0.080043
  1783.350,    -0.082569
  1783.400,    -0.085670
  1783.450,    -0.085304
  1783.500,    -0.085594
  1783.550,    -0.087622
  1783.600,    -0.088385
  1783.650,    -0.091783
  1783.700,    -0.093511
  1783.750,    -0.096455
  1783.800,    -0.099291
  1783.850,    -0.104496
  1783.900,    -0.111701
  1783.950,    -0.116654
  1784.000,    -0.123459
  1784.050,    -0.127181
  1784.100,    -0.130907
  1784.150,    -0.131175
  1784.200,    -0.127651
  1784.250,    -0.123661
  1784.300,    -0.119767
  1784.350,    -0.114854
  1784.400,    -0.108377
  1784.450,    -0.104012
  1784.500,    -0.101118
  1784.550,    -0.098022
  1784.600,    -0.097868
  1784.650,    -0.100064
  1784.700,    -0.101472
  1784.750,    -0.105823
  1784.800,    -0.107732
  1784.850,    -0.110010
  1784.900,    -0.110167
  1784.950,    -0.108646
  1785.000,    -0.107703
  1785.050,    -0.105809
  1785.100,    -0.105341
  1785.150,    -0.104079
  1785.200,    -0.105505
  1785.250,    -0.106182
  1785.300,    -0.107088
  1785.350,    -0.106740
  1785.400,    -0.106291
  1785.450,    -0.106803
  1785.500,    -0.107487
  1785.550,    -0.108410
  1785.600,    -0.107833
  1785.650,    -0.110662
  1785.700,    -0.114281
  1785.750,    -0.117369
  1785.800,    -0.123130
  1785.850,    -0.128664
  1785.900,    -0.133719
  1785.950,    -0.139228
  1786.000,    -0.142170
  1786.050,    -0.144814
  1786.100,    -0.144660
  1786.150,    -0.146606
  1786.200,    -0.147892
  1786.250,    -0.151231
  1786.300,    -0.156082
  1786.350,    -0.163367
  1786.400,    -0.167078
  1786.450,    -0.172517
  1786.500,    -0.175748
  1786.550,    -0.176984
  1786.600,    -0.174612
  1786.650,    -0.171070
  1786.700,    -0.166424
  1786.750,    -0.163446
  1786.800,    -0.162004
  1786.850,    -0.160262
  1786.900,    -0.161848
  1786.950,    -0.164510
  1787.000,    -0.166717
  1787.050,    -0.170039
  1787.100,    -0.174066
  1787.150,    -0.177075
  1787.200,    -0.180745
  1787.250,    -0.183934
  1787.300,    -0.185193
  1787.350,    -0.187767
  1787.400,    -0.186197
  1787.450,    -0.183683
  1787.500,    -0.178970
  1787.550,    -0.171632
  1787.600,    -0.162817
  1787.650,    -0.153611
  1787.700,    -0.145034
  1787.750,    -0.135031
  1787.800,    -0.128569
  1787.850,    -0.122712
  1787.900,    -0.116631
  1787.950,    -0.112440
  1788.000,    -0.107343
  1788.050,    -0.105838
  1788.100,    -0.101147
  1788.150,    -0.096814
  1788.201,    -0.094366
  1788.251,    -0.090496
  1788.301,    -0.081711
  1788.351,    -0.075767
  1788.401,    -0.067544
  1788.451,    -0.062623
  1788.501,    -0.051945
  1788.551,    -0.043339
  1788.601,    -0.037095
  1788.651,    -0.030580
  1788.701,    -0.025651
  1788.751,    -0.025837
  1788.801,    -0.026440
  1788.851,    -0.027636
  1788.901,    -0.028836
  1788.951,    -0.029797
  1789.001,    -0.027484
  1789.051,    -0.023867
  1789.101,    -0.015870
  1789.151,    -0.005929
  1789.201,     0.002091
  1789.251,     0.018489
  1789.301,     0.028257
  1789.351,     0.040922
  1789.401,     0.051293
  1789.451,     0.059497
  1789.501,     0.068994
  1789.551,     0.077775
  1789.601,     0.085549
  1789.651,     0.094289
  1789.701,     0.102267
  1789.751,     0.108419
  1789.801,     0.116863
  1789.851,     0.123815
  1789.901,     0.131998
  1789.951,     0.138358
  1790.001,     0.144385
  1790.051,     0.148980
  1790.101,     0.154537
  1790.151,     0.165633
  1790.201,     0.169530
  1790.251,     0.177836
  1790.301,     0.182088
  1790.351,     0.188632
  1790.401,     0.193389
  1790.451,     0.199843
  1790.501,     0.201392
  1790.551,     0.204717
  1790.601,     0.205501
  1790.651,     0.209256
  1790.701,     0.209894
  1790.751,     0.211219
  1790.801,     0.215223
  1790.851,     0.218248
  1790.901,     0.222977
  1790.951,     0.227595
  1791.001,     0.228905
  1791.051,     0.232454
  1791.101,     0.231456
  1791.151,     0.230318
  1791.201,     0.228621
  1791.251,     0.230527
  1791.301,     0.231896
  1791.351,     0.235313
  1791.401,     0.239114
  1791.451,     0.243075
  1791.501,     0.248186
  1791.551,     0.255889
  1791.601,     0.263359
  1791.651,     0.272163
  1791.701,     0.281350
  1791.751,     0.289945
  1791.801,     0.300012
  1791.851,     0.307340
  1791.901,     0.312451
  1791.951,     0.317539
  1792.001,     0.321498
  1792.051,     0.321616
  1792.101,     0.322911
  1792.151,     0.322848
  1792.201,     0.321993
  1792.251,     0.321870
  1792.301,     0.321813
  1792.351,     0.320291
  1792.401,     0.321943
  1792.451,     0.326165
  1792.501,     0.328210
  1792.551,     0.332174
  1792.601,     0.335312
  1792.651,     0.340460
  1792.701,     0.345989
  1792.751,     0.349809
  1792.801,     0.354385
  1792.851,     0.355841
  1792.901,     0.356606
  1792.951,     0.356999
  1793.001,     0.357191
  1793.051,     0.355886
  1793.101,     0.358538
  1793.151,     0.361512
  1793.201,     0.364918
  1793.251,     0.369745
  1793.301,     0.378648
  1793.351,     0.386848
  1793.401,     0.394562
  1793.451,     0.405609
  1793.501,     0.415035
  1793.551,     0.422269
  1793.601,     0.431150
  1793.651,     0.435779
  1793.701,     0.436571
  1793.751,     0.442290
  1793.801,     0.441367
  1793.851,     0.443310
  1793.901,     0.445907
  1793.951,     0.447571
  1794.001,     0.447235
  1794.051,     0.444304
  1794.101,     0.443830
  1794.151,     0.441679
  1794.201,     0.440974
  1794.251,     0.443727
  1794.301,     0.446445
  1794.351,     0.452338
  1794.401,     0.456309
  1794.451,     0.464490
  1794.501,     0.470206
  1794.551,     0.475728
  1794.601,     0.479775
  1794.651,     0.481507
  1794.701,     0.482596
  1794.751,     0.479963
  1794.801,     0.478560
  1794.851,     0.475969
  1794.901,     0.472907
  1794.951,     0.470407
  1795.001,     0.468924
  1795.051,     0.462205
  1795.101,     0.458057
  1795.151,     0.450637
  1795.201,     0.440256
  1795.251,     0.432811
  1795.301,     0.424276
  1795.351,     0.413343
  1795.401,     0.408355
  1795.451,     0.398335
  1795.501,     0.395919
  1795.551,     0.388321
  1795.601,     0.383898
  1795.651,     0.377530
  1795.701,     0.369920
  1795.751,     0.361960
  1795.801,     0.354404
  1795.851,     0.345470
  1795.901,     0.338208
  1795.951,     0.331251
  1796.001,     0.325617
  1796.051,     0.318776
  1796.101,     0.317974
  1796.151,     0.314612
  1796.201,     0.315772
  1796.251,     0.315408
  1796.301,     0.315324
  1796.351,     0.316039
  1796.401,     0.314663
  1796.451,     0.313664
  1796.501,     0.313310
  1796.551,     0.312243
  1796.601,     0.314984
  1796.651,     0.318134
  1796.701,     0.323881
  1796.751,     0.331298
  1796.801,     0.338768
  1796.851,     0.349331
  1796.901,     0.359707
  1796.951,     0.368715
  1797.001,     0.373551
  1797.051,     0.380521
  1797.101,     0.387000
  1797.151,     0.391628
  1797.201,     0.398594
  1797.251,     0.402321
  1797.301,     0.407691
  1797.351,     0.413372
  1797.401,     0.420543
  1797.451,     0.423022
  1797.501,     0.426041
  1797.551,     0.430255
  1797.601,     0.430314
  1797.651,     0.430515
  1797.701,     0.428177
  1797.751,     0.426083
  1797.801,     0.424716
  1797.851,     0.424366
  1797.901,     0.422299
  1797.951,     0.423333
  1798.001,     0.422157
  1798.051,     0.422118
  1798.101,     0.420005
  1798.151,     0.416619
  1798.201,     0.410752
  1798.251,     0.403968
  1798.301,     0.399123
  1798.351,     0.392736
  1798.401,     0.391373
  1798.451,     0.387245
  1798.501,     0.388229
  1798.551,     0.389624
  1798.601,     0.390382
  1798.651,     0.394827
  1798.701,     0.395203
  1798.751,     0.394490
  1798.801,     0.394101
  1798.851,     0.390434
  1798.901,     0.388353
  1798.951,     0.385473
  1799.001,     0.378906
  1799.051,     0.373154
  1799.101,     0.368324
  1799.151,     0.361769
  1799.201,     0.352950
  1799.251,     0.344788
  1799.301,     0.334851
  1799.351,     0.322326
  1799.401,     0.311197
  1799.451,     0.301907
  1799.501,     0.293993
  1799.551,     0.290246
  1799.601,     0.288935
  1799.651,     0.291166
  1799.701,     0.295191
  1799.751,     0.299629
  1799.801,     0.305642
  1799.851,     0.309812
  1799.901,     0.310598
  1799.951,     0.311197
  1800.001,     0.312474
  1800.051,     0.309190
  1800.101,     0.305048
  1800.151,     0.301068
  1800.201,     0.296932
  1800.251,     0.292701
  1800.301,     0.292433
  1800.351,     0.290779
  1800.401,     0.292533
  1800.451,     0.296354
  1800.501,     0.301746
  1800.551,     0.304917
  1800.601,     0.310431
  1800.651,     0.313369
  1800.701,     0.315131
  1800.751,     0.316434
  1800.801,     0.317948
  1800.851,     0.318021
  1800.901,     0.319646
  1800.951,     0.317091
  1801.001,     0.314240
  1801.051,     0.310735
  1801.101,     0.308318
  1801.151,     0.303461
  1801.201,     0.301083
